Filename	BibTex
handwriting_2006	@misc{anthony2008handwriting2,   author = {Anthony, Lisa and Ritter, Steven},   title = {Handwriting2/Examples Spring 2007},   year = {2008},   note = {Dataset 165 in DataShop},   howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165}},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=145} }
handwriting_2007	@misc{anthony2008handwriting,   author = {Anthony, Lisa and Ritter, Steven},   title = {Handwriting/Examples Dec 2006},   year = {2008},   note = {Dataset 145 in DataShop},   howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145}} }
hmcdm_spatialreasoning	@Manual{hmcdm2023,   title = {hmcdm: Hidden Markov Cognitive Diagnosis Models for Learning},   author = {Susu Zhang and Shiyu Wang and Yi Chen and Seungman Kwon},   year = {2023},   note = {R package version 2.1.1},   url = {https://CRAN.R-project.org/package=hmcdm} }
hrs_cesd	@techreport{steffick2000documentation,   title={Documentation of affective functioning measures in the Health and Retirement Study},   author={Steffick, Diane E and Wallace, Robert B and Herzog, A Regula},   year={2000},   institution={University of Michigan},   address={Ann Arbor, MI},   number={15},   url={https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004} }
hrs_health	@techreport{RAND_HRS_2018,     title = {RAND {HRS} Longitudinal File 2018 (V2)},     institution = {RAND Center for the Study of Aging},     address = {Santa Monica, CA},     year = {2022},     month = {July},     note = {Funded by the National Institute on Aging and the Social Security Administration},     url = {https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004} }
human_learning_rate	@misc{koedinger2023student,   title={Student-step roll up for ds104 from {An} {Astonishing} {Regularity} in {Student} {Learning} {Rate} [data set]},   author={Koedinger, Kenneth R. and Carvalho, Paulo and Liu, Ran and McLaughlin, Elizabeth A.},   year={2023},   publisher={DataShop @ CMU},   url={https://pslcdatashop.web.cmu.edu/Files?datasetId=4629} }
hypersensitive_narcissism	@misc{jorgenson2016ohbds,   author = {Jorgenson, E.},   title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},   year = {2016},   url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},   note = {Retrieved from http://openpsychometrics.org/_rawdata/} }
ieswriting_molloy_2022	@misc{ets_ies_writing_achievement_data,   author       = {{Educational Testing Service}},   title        = {IES Writing Achievement Study Data},   year         = {2025},   url          = {https://github.com/EducationalTestingService/ies-writing-achievement-study-data},   note         = {Accessed: 2025-01-06} } 
immer10_immer	@misc{immer,   title = {immer: Item Response Models for Multiple Ratings},   author = {},   year = {},   url = {https://cran.r-project.org/web/packages/immer/index.html},   note = {CRAN - Package immer},   organization = {CRAN} }
immer12_immer	@misc{immer,   title = {immer: Item Response Models for Multiple Ratings},   author = {},   year = {},   url = {https://cran.r-project.org/web/packages/immer/index.html},   note = {CRAN - Package immer},   organization = {CRAN} }
